date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:40:23	26183/26183	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Jul%202023%2020:28:15%20GMT	https://gorod53.ru/	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/index.html	(from )
23:40:23	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2020:29:04%20GMT	http://vk.com/js/api/openapi.js?111	/Users/aleksandr/websites/dk_vn/dk_vn/vk.com/js/api/openapi.c698d.delayed	(from https://gorod53.ru/)
23:40:23	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Jul%202023%2020:29:14%20GMT	http://gorod53.ru/anonsy/366.html	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/anonsy/366.16.delayed	(from https://gorod53.ru/)
23:40:23	13695/13695	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Jul%202023%2020:28:33%20GMT	https://gorod53.ru/protivodejstvie-korruptcii.html	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/protivodejstvie-korruptcii.html	(from https://gorod53.ru/)
23:40:23	28602/28602	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Jul%202023%2020:28:34%20GMT	https://gorod53.ru/versiya-dlya-slabovidyashchih.html	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/versiya-dlya-slabovidyashchih.html	(from https://gorod53.ru/)
23:40:23	32132/32132	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Jul%202023%2020:28:36%20GMT	https://gorod53.ru/o-nas.html	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/o-nas.html	(from https://gorod53.ru/)
23:40:23	12028/12028	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Jul%202023%2020:28:38%20GMT	https://gorod53.ru/novosti/	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/novosti/index.html	(from https://gorod53.ru/)
23:40:23	156/156	------	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Jul%202023%2020:29:46%20GMT	http://bs.yandex.ru/informer/26044164/3_0_FFFFFFFF_EFEFEFFF_0_pageviews	/Users/aleksandr/websites/dk_vn/dk_vn/bs.yandex.ru/informer/26044164/3_0_FFFFFFFF_EFEFEFFF_0_pageviews.33.delayed	(from https://gorod53.ru/)
23:40:23	13086/13086	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Jul%202023%2020:28:38%20GMT	https://gorod53.ru/klubnie-formirovaniya/	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/klubnie-formirovaniya/index.html	(from https://gorod53.ru/)
23:40:23	16769/16769	------	200	untouched ('OK')	text/html	date:Thu,%2013%20Jul%202023%2020:28:38%20GMT	https://gorod53.ru/narodnie-kollektivi/	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/narodnie-kollektivi/index.html	(from https://gorod53.ru/)
