date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:52	83/83	---MCZ	200	added ('OK')	text/plain	etag:W/%2264b05cfa-6e%22	https://gorod53.ru/robots.txt		(from )
23:28:52	26183/26183	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jul%202023%2020:28:15%20GMT	https://gorod53.ru/	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/index.html	(from )
23:28:52	18829/18829	---M--	200	added ('OK')	image/png	etag:%2264b05d34-498d%22	https://gorod53.ru/favicon.png	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/favicon.png	(from https://gorod53.ru/)
23:28:54	2991/2991	---MCZ	200	added ('OK')	text/css	etag:W/%2264b05cfc-baf%22	https://gorod53.ru/css/reset.css	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/css/reset.css	(from https://gorod53.ru/)
23:28:55	833/833	---MCZ	200	added ('OK')	text/css	etag:W/%2264b05cfc-341%22	https://gorod53.ru/css/layout.css	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/css/layout.css	(from https://gorod53.ru/)
23:28:56	17988/17988	---MCZ	200	added ('OK')	text/css	etag:W/%2264b05cfc-4644%22	https://gorod53.ru/css/template.css	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/css/template.css	(from https://gorod53.ru/)
23:28:57	4965/4965	---MCZ	200	added ('OK')	text/css	etag:W/%2264b05cfc-1365%22	https://gorod53.ru/css/jquery.fancybox.css	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/css/jquery.fancybox.css	(from https://gorod53.ru/)
23:28:58	349/349	---MCZ	200	added ('OK')	text/css	etag:W/%2264b05cfc-15d%22	https://gorod53.ru/css/jquery-ui-timepicker-addon.css	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/css/jquery-ui-timepicker-addon.css	(from https://gorod53.ru/)
23:28:59	22982/22982	---MCZ	200	added ('OK')	text/css	etag:W/%2264b05cfc-59c6%22	https://gorod53.ru/css/jquery-ui.css	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/css/jquery-ui.css	(from https://gorod53.ru/)
23:29:00	93111/93111	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2264b05d01-16bb7%22	https://gorod53.ru/js/jquery-1.10.2.min.js	/Users/aleksandr/websites/dk_vn/dk_vn/gorod53.ru/js/jquery-1.10.2.min.js	(from https://gorod53.ru/)
